year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2020,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),92.2,66.7,3338.0,3200.0,3400.0,3200.0,3000.0,3500.0
2020,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),95.1,68.6,3609.0,3600.0,3682.0,3630.0,3200.0,4000.0
2020,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery (MBBS),100.0,100.0,4688.0,4700.0,5306.0,5250.0,5000.0,5800.0
2020,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),97.4,92.2,3269.0,3250.0,3489.0,3500.0,3250.0,3680.0
2020,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),98.5,97.0,3371.0,3400.0,3616.0,3600.0,3500.0,3750.0
2020,National University of Singapore,YST Conservatory of Music,Bachelor of Music,69.2,15.4,3163.0,3125.0,3238.0,3275.0,3125.0,3350.0
2020,National University of Singapore,Yale-NUS College,Bachelor of Arts with Honours,90.5,65.7,4242.0,3800.0,4370.0,3890.0,3475.0,5000.0
2020,National University of Singapore,Multi-Disciplinary Programmes,Bachelor of Engineering (Computer Engineering),93.7,81.1,4904.0,5000.0,4977.0,5000.0,4080.0,5500.0
2020,National University of Singapore,Multi-Disciplinary Programmes,Bachelor of Environmental Studies,92.9,47.6,3251.0,3250.0,3409.0,3250.0,3010.0,3750.0
2020,Singapore Institute of Technology,SIT-DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts and Animation,97.1,70.6,2845.0,2835.0,2862.0,2887.0,2675.0,3000.0
2020,Singapore Institute of Technology,SIT-DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,97.6,90.5,4390.0,4200.0,4399.0,4200.0,3880.0,4500.0
2020,Singapore Institute of Technology,Singapore Institute of Technology,Bachelor of Accountancy with Honours,97.4,69.8,3107.0,3000.0,3120.0,3000.0,3000.0,3200.0
2020,Singapore Institute of Technology,Singapore Institute of Technology,Bachelor of Engineering with Honours in Information & Communications Technology (Information Security),100.0,95.9,4023.0,4000.0,4237.0,4300.0,3600.0,4630.0
2020,Singapore Institute of Technology,Singapore Institute of Technology,Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering),96.2,83.0,4275.0,4000.0,4366.0,4000.0,3600.0,4750.0
2020,Singapore Institute of Technology,Singapore Institute of Technology,Bachelor of Engineering with Honours in Pharmaceutical Engineering,94.2,73.9,3329.0,3375.0,3749.0,3740.0,3400.0,4000.0
2020,Singapore Institute of Technology,Singapore Institute of Technology,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Building Services),98.1,84.6,3585.0,3500.0,3702.0,3500.0,3375.0,3800.0
2020,Singapore Institute of Technology,Singapore Institute of Technology,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land),97.1,77.1,3823.0,3925.0,4203.0,4105.0,3650.0,4370.0
2020,Singapore Institute of Technology,Singapore Institute of Technology,Bachelor of Engineering with Honours in Telematics (Intelligent Transportation Systems Engineering),92.9,55.4,4083.0,4200.0,4135.0,4200.0,3380.0,4800.0
2020,Singapore Institute of Technology,Singapore Institute of Technology,Bachelor of Hospitality Business with Honours,89.9,47.9,3041.0,3000.0,3148.0,3000.0,2800.0,3400.0
2020,Singapore Institute of Technology,SIT-DigiPen Institute of Technology,Bachelor of Engineering with Honours in Systems Engineering (ElectroMechanical Systems),95.7,82.6,4044.0,4090.0,4114.0,4185.0,3750.0,4250.0
2020,Singapore Institute of Technology,SIT-Massey University,Bachelor of Food Technology with Honours,95.2,52.4,3060.0,3000.0,3084.0,3000.0,2770.0,3400.0
2020,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,95.7,47.8,3095.0,3000.0,3242.0,3200.0,3000.0,3500.0
2020,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,97.9,68.8,3501.0,3500.0,3603.0,3500.0,3400.0,3850.0
2020,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering,94.6,57.1,3281.0,3300.0,3443.0,3350.0,3025.0,3925.0
2020,Singapore Institute of Technology,Trinity College Dublin,Bachelor of Science (Diagnostic Radiography),100.0,100.0,3446.0,3400.0,3685.0,3650.0,3400.0,3859.0
2020,Singapore Institute of Technology,Trinity College Dublin,Bachelor of Science (Occupational Therapy),100.0,100.0,3510.0,3400.0,3542.0,3400.0,3364.0,3629.0
2020,Singapore Institute of Technology,Trinity College Dublin,Bachelor of Science (Physiotherapy),98.2,96.3,3485.0,3480.0,3518.0,3500.0,3400.0,3700.0
2020,Singapore Institute of Technology,SIT-University of Glasgow,Bachelor of Engineering with Honours in Civil Engineering,97.9,78.7,3444.0,3400.0,3518.0,3500.0,3200.0,3700.0
2020,Singapore Institute of Technology,SIT-University of Glasgow,Bachelor of Science with Honours in Nursing,96.2,94.2,3436.0,3270.0,3725.0,3650.0,3405.0,4000.0
2020,Singapore Institute of Technology,Technische University Munich,Bachelor of Science in Chemical Engineering,93.3,48.9,3147.0,3100.0,3387.0,3175.0,2815.0,3650.0
2020,Singapore Institute of Technology,Technische University Munich,Bachelor of Science in Electrical Engineering & Information Technology,94.7,39.5,3760.0,3600.0,3773.0,3600.0,3350.0,4000.0
2020,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Business Administration in Food Business Management,86.0,66.7,2497.0,2475.0,2675.0,2550.0,2300.0,2820.0
2020,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,85.7,38.1,2773.0,2800.0,2876.0,2800.0,2500.0,3000.0
2020,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,83.9,45.2,2958.0,2500.0,2992.0,2600.0,2500.0,3500.0
2020,Singapore Institute of Technology,SIT-University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,91.2,35.3,4127.0,3900.0,4159.0,3921.0,3400.0,5010.0
2020,Singapore Institute of Technology,SIT-University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,95.0,53.3,3461.0,3500.0,3592.0,3500.0,3200.0,3650.0
2020,Singapore Institute of Technology,SIT-University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,89.3,58.9,3579.0,3454.0,3690.0,3600.0,3200.0,4000.0
2020,Singapore Institute of Technology,SIT-University of Glasgow,Bachelor of Science with Honours in Computing Science,98.6,89.9,4517.0,5000.0,4530.0,5000.0,4000.0,5000.0
2020,Singapore Institute of Technology,University of Liverpool,Bachelor of Arts with Honours in Criminology and Security,93.7,68.4,3634.0,3480.0,3919.0,3700.0,3400.0,4300.0
2020,Singapore Management University,School of Accountancy (4-year programme),Accountancy,94.7,86.0,3636.0,3050.0,3694.0,3100.0,3000.0,4000.0
2020,Singapore Management University,School of Accountancy (4-year programme),Accountancy (Hons),96.3,86.1,3979.0,3600.0,4057.0,3744.0,3000.0,4583.0
2020,Singapore Management University,School of Business (4-year programme),Business Management,95.8,68.4,4183.0,3800.0,4293.0,3850.0,3440.0,4600.0
2020,Singapore Management University,School of Business (4-year programme),Business Management (Hons),97.5,78.7,4596.0,4000.0,4688.0,4000.0,3600.0,5000.0
2020,Singapore Management University,School of Economics (4-year programme),Economics (4-years programme),91.5,70.5,4181.0,3750.0,4290.0,3800.0,3400.0,4500.0
2020,Singapore Management University,School of Economics (4-year programme),Economics (Hons),94.7,82.9,4670.0,4000.0,4749.0,4000.0,3660.0,5275.0
2020,Singapore Management University,School of Business (4-year programme),Information Systems,93.1,83.9,4548.0,4500.0,4683.0,4542.0,4000.0,5400.0
2020,Singapore Management University,School of Business (4-year programme),Information Systems (Hons),93.3,93.3,4903.0,5000.0,5064.0,5000.0,4500.0,5416.0
2020,Singapore Management University,School of Social Sciences (4-year programme),Social Sciences,89.9,52.8,3540.0,3360.0,3626.0,3500.0,3200.0,4000.0
2020,Singapore Management University,School of Social Sciences (4-year programme),Social Sciences (Hons),90.6,65.6,3711.0,3510.0,3784.0,3510.0,3230.0,4200.0
2020,Singapore Management University,School of Law (4-year programme),Law #,95.5,91.1,4729.0,4500.0,4804.0,4588.0,4000.0,5600.0
2020,Singapore Management University,School of Law (4-year programme),Law (Cum Laude and above) #,97.0,95.5,5053.0,5000.0,5141.0,5000.0,4500.0,5735.0
2020,Singapore University of Social Sciences,S R Nathan School of Human Development,Bachelor of Human Resource Management,90.6,22.6,2947.0,2750.0,3051.0,2950.0,2650.0,3300.0
2020,Singapore University of Social Sciences,S R Nathan School of Human Development,Bachelor of Social Work,97.3,89.2,3443.0,3500.0,3486.0,3500.0,3450.0,3655.0
2020,Singapore University of Social Sciences,School of Business,Bachelor of Accountancy,94.6,81.7,3059.0,3000.0,3116.0,3000.0,3000.0,3000.0
2020,Singapore University of Social Sciences,School of Business,Bachelor of Science in Marketing,92.1,51.3,3126.0,2900.0,3246.0,2900.0,2750.0,3520.0
2021,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,97.7,93.0,3505.0,3300.0,3539.0,3400.0,3100.0,3500.0
2021,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,99.2,96.2,5018.0,4500.0,5173.0,4500.0,3700.0,5858.0
2021,Nanyang Technological University,College of Business (Nanyang Business School),Business,96.2,85.2,4211.0,4000.0,4362.0,4000.0,3500.0,4800.0
2021,Nanyang Technological University,College of Business (Nanyang Business School),Double Degree in Business and Computer Engineering/Computing,93.8,87.5,6418.0,6300.0,6578.0,6300.0,5250.0,8225.0
2021,Nanyang Technological University,College of Engineering,Aerospace Engineering,94.4,87.3,4250.0,4250.0,4321.0,4471.0,3792.0,5000.0
2021,Nanyang Technological University,College of Engineering,Bioengineering,90.9,75.8,3480.0,3483.0,3654.0,3500.0,3300.0,3850.0
2021,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,91.1,84.8,3784.0,3600.0,3959.0,3740.0,3600.0,4300.0
2021,Nanyang Technological University,College of Engineering,Civil Engineering,97.7,92.0,3596.0,3500.0,3664.0,3540.0,3400.0,3800.0
2021,Nanyang Technological University,College of Engineering,Computer Engineering,95.8,89.6,4649.0,4500.0,4847.0,4500.0,4000.0,5000.0
2021,Nanyang Technological University,College of Engineering,Computer Science,97.0,91.0,4871.0,4800.0,4924.0,4800.0,4200.0,5450.0
